市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,101,和歌山県,有田川町,2020-04-30,天満,1310,636,674,14,5,7,8,6,8,6,3,9,4,6,12,10,8,7,10,7,13,5,13,10,5,12,10,6,1,5,8,4,9,7,8,11,7,9,7,492,
030366,102,和歌山県,有田川町,2020-04-30,下津野,2698,1295,1403,10,13,22,13,12,12,17,19,17,14,21,17,15,19,14,16,23,16,19,16,19,13,18,17,14,13,19,16,22,15,13,14,16,15,20,11,951,
030366,106,和歌山県,有田川町,2020-04-30,植野,447,207,240,1,2,3,4,1,3,1,2,4,3,2,3,2,4,0,3,5,2,1,4,4,3,3,4,3,3,2,5,1,1,1,6,4,2,0,2,159,
030366,107,和歌山県,有田川町,2020-04-30,土生,559,274,285,3,4,2,4,1,5,5,1,5,2,5,4,0,5,2,3,3,4,4,1,2,1,5,2,5,3,2,2,3,1,4,1,3,3,6,4,203,
030366,108,和歌山県,有田川町,2020-04-30,奥,641,310,331,4,2,3,3,2,4,5,3,3,9,4,3,2,6,5,1,6,2,2,1,4,5,2,4,4,2,7,0,7,3,2,3,7,3,4,3,207,
030366,109,和歌山県,有田川町,2020-04-30,水尻,1497,737,760,12,5,9,8,7,7,9,10,8,10,7,9,3,10,7,3,7,7,6,8,9,12,9,8,4,6,11,6,12,10,7,8,7,6,11,6,594,
030366,110,和歌山県,有田川町,2020-04-30,熊井,370,189,181,2,1,0,1,2,3,2,1,1,1,2,2,1,1,2,2,1,0,2,1,3,1,1,0,0,5,1,5,3,1,4,1,3,1,1,1,167,
030366,111,和歌山県,有田川町,2020-04-30,明王寺,627,289,338,6,5,4,3,4,1,1,2,2,8,2,4,0,5,5,3,2,1,2,3,3,4,1,3,3,3,1,4,4,1,5,4,0,4,4,6,247,
030366,112,和歌山県,有田川町,2020-04-30,小島,399,198,201,1,1,2,2,1,1,7,3,3,3,1,4,6,3,0,3,2,4,2,0,3,1,1,4,1,1,3,2,3,1,3,2,4,1,2,4,159,
030366,113,和歌山県,有田川町,2020-04-30,野田,638,315,323,7,2,5,4,4,7,3,8,7,4,11,5,5,7,7,6,6,2,5,5,1,2,3,3,4,2,3,4,3,2,7,4,2,3,0,3,226,
030366,121,和歌山県,有田川町,2020-04-30,大賀畑,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
030366,122,和歌山県,有田川町,2020-04-30,田口,363,169,194,0,2,2,0,3,0,0,0,1,3,2,3,1,1,1,3,1,2,4,1,0,0,1,4,3,5,3,2,1,2,1,4,5,2,2,1,125,
030366,123,和歌山県,有田川町,2020-04-30,大谷,173,83,90,0,0,0,0,3,1,0,0,1,2,0,1,2,0,1,0,1,0,1,0,3,0,1,0,2,0,0,1,0,0,1,3,0,0,0,1,59,
030366,124,和歌山県,有田川町,2020-04-30,井口,265,124,141,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,2,0,1,3,3,2,3,0,4,5,0,88,
030366,125,和歌山県,有田川町,2020-04-30,賢,412,195,217,0,0,1,0,0,4,2,0,0,1,1,3,1,2,1,1,0,2,0,3,2,1,1,2,6,0,0,0,0,0,2,1,1,1,1,4,132,
030366,126,和歌山県,有田川町,2020-04-30,田角,71,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,
030366,127,和歌山県,有田川町,2020-04-30,船坂,172,83,89,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1,1,1,0,1,0,2,0,1,0,0,0,2,0,1,1,63,
030366,128,和歌山県,有田川町,2020-04-30,長谷,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
030366,129,和歌山県,有田川町,2020-04-30,出,184,85,99,1,0,0,3,0,2,1,2,2,1,0,1,1,3,1,0,0,1,1,2,1,1,1,2,1,2,1,0,1,0,1,0,1,1,3,0,70,
030366,130,和歌山県,有田川町,2020-04-30,尾中,136,71,65,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,57,
030366,131,和歌山県,有田川町,2020-04-30,角,163,76,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,4,1,1,2,1,2,1,1,1,0,1,2,1,0,0,1,2,59,
030366,132,和歌山県,有田川町,2020-04-30,長田,327,159,168,0,2,0,2,4,0,1,2,1,0,0,1,0,1,1,2,2,3,1,2,4,0,4,2,0,4,1,1,5,3,2,0,0,0,1,0,123,
030366,133,和歌山県,有田川町,2020-04-30,上中島,441,208,233,2,0,0,1,1,0,1,0,3,2,2,4,0,0,5,2,1,0,1,1,3,2,1,5,0,1,0,0,0,2,1,3,4,1,1,5,167,
030366,141,和歌山県,有田川町,2020-04-30,徳田,1968,960,1008,6,10,10,10,13,4,21,12,14,12,17,12,17,15,12,12,8,17,9,7,17,11,5,8,10,17,14,9,9,11,16,13,15,11,9,7,768,
030366,142,和歌山県,有田川町,2020-04-30,庄,1489,704,785,14,5,7,10,8,8,7,9,8,9,9,6,4,11,6,7,3,5,8,3,5,8,5,6,7,14,4,7,6,9,6,6,6,7,9,2,649,
030366,145,和歌山県,有田川町,2020-04-30,垣倉,340,152,188,2,1,0,3,1,3,1,1,2,0,2,2,1,5,4,1,4,2,1,2,5,3,2,1,1,2,2,1,2,1,2,1,1,0,0,2,133,
030366,146,和歌山県,有田川町,2020-04-30,東丹生図,244,102,142,1,1,1,3,0,2,0,1,0,1,0,2,0,2,2,0,3,0,0,1,1,3,1,0,0,3,0,0,0,1,1,1,0,0,0,2,82,
030366,147,和歌山県,有田川町,2020-04-30,西丹生図,315,151,164,4,1,4,0,4,1,2,6,3,3,1,5,6,4,2,0,4,1,0,3,2,1,0,3,2,1,0,0,2,1,1,2,2,2,1,2,111,
030366,148,和歌山県,有田川町,2020-04-30,吉見,181,92,89,1,0,2,1,0,0,0,0,0,3,0,1,2,1,2,0,0,0,1,0,2,0,2,0,2,1,2,0,3,0,0,3,0,0,2,1,50,
030366,201,和歌山県,有田川町,2020-04-30,吉原,1085,521,564,0,3,2,2,3,1,10,2,3,2,6,2,3,1,4,4,2,4,4,2,6,7,5,7,1,6,6,7,3,4,6,5,3,2,7,7,422,
030366,202,和歌山県,有田川町,2020-04-30,糸川,90,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
030366,203,和歌山県,有田川町,2020-04-30,修理川,132,65,67,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,1,0,58,
030366,204,和歌山県,有田川町,2020-04-30,宇井苔,23,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
030366,205,和歌山県,有田川町,2020-04-30,松原,65,29,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,
030366,206,和歌山県,有田川町,2020-04-30,歓喜寺,161,73,88,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
030366,211,和歌山県,有田川町,2020-04-30,伏羊,127,56,71,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,3,0,0,0,3,2,0,2,0,1,1,42,
030366,212,和歌山県,有田川町,2020-04-30,小川,942,450,492,1,1,3,1,2,0,2,0,1,2,1,1,3,5,2,0,3,4,4,3,4,3,3,2,7,0,5,1,4,7,2,3,4,4,2,1,349,
030366,214,和歌山県,有田川町,2020-04-30,中野,186,94,92,0,1,1,0,0,1,2,0,3,2,0,1,1,1,1,1,1,0,2,0,0,1,2,2,1,0,1,2,2,0,2,2,0,1,2,1,71,
030366,215,和歌山県,有田川町,2020-04-30,市場,337,160,177,0,1,1,2,0,0,2,0,2,0,2,0,0,1,2,1,0,0,1,0,1,2,1,1,1,2,1,2,1,1,3,1,1,0,3,4,136,
030366,216,和歌山県,有田川町,2020-04-30,中井原,523,240,283,2,0,4,2,1,0,2,2,1,1,2,0,0,2,0,2,1,5,1,1,3,2,1,5,1,2,2,5,1,3,0,1,4,3,5,3,199,
