市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,211,和歌山県,有田川町,2023-03-31,伏羊,125,58,67,4,0,0,1,1,5,4,6,2,4,1,1,0,0,2,4,4,3,7,4,2,3,1,3,2,5,6,10,12,9,6,5,2,0,2,4,37,
030366,212,和歌山県,有田川町,2023-03-31,小川,904,429,475,19,9,11,9,18,13,24,12,14,21,9,18,17,16,20,19,19,22,23,19,28,26,30,41,41,37,36,34,43,40,19,40,24,34,34,65,353,
030366,214,和歌山県,有田川町,2023-03-31,中野,169,85,84,0,1,6,5,4,4,6,5,6,0,2,2,5,2,2,6,4,6,6,6,5,3,5,6,4,3,8,13,6,5,8,5,5,5,3,7,66,
030366,215,和歌山県,有田川町,2023-03-31,市場,300,138,162,2,4,6,1,3,3,7,7,6,7,4,0,7,5,4,10,12,5,3,9,12,11,12,7,11,17,17,18,8,8,10,16,3,10,11,24,134,
030366,216,和歌山県,有田川町,2023-03-31,中井原,527,249,278,8,7,10,6,8,14,10,13,15,12,13,8,10,16,7,10,9,12,16,16,16,13,20,30,22,18,18,17,19,23,16,21,16,17,16,25,214,
030366,217,和歌山県,有田川町,2023-03-31,金屋,790,352,438,5,10,10,18,16,20,18,19,11,20,16,14,13,12,14,19,15,24,33,27,21,36,27,21,28,29,26,31,26,35,24,28,17,32,32,43,347,
030366,218,和歌山県,有田川町,2023-03-31,長谷川,263,122,141,1,1,5,4,2,5,5,4,8,7,1,1,9,9,7,2,3,5,13,12,11,6,8,11,3,15,15,8,9,13,9,13,10,9,3,16,112,
030366,221,和歌山県,有田川町,2023-03-31,岩野河,96,45,51,0,0,0,0,1,1,0,1,1,0,3,2,1,0,1,0,1,1,2,3,2,3,3,2,1,2,2,4,7,7,8,10,8,4,4,11,48,
030366,222,和歌山県,有田川町,2023-03-31,川口,117,53,64,1,0,0,1,1,1,1,2,3,2,3,2,1,1,1,1,3,2,4,3,3,7,1,0,2,3,5,4,9,11,5,10,5,2,5,12,65,
030366,223,和歌山県,有田川町,2023-03-31,谷,29,13,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,2,3,2,2,3,3,5,22,
030366,224,和歌山県,有田川町,2023-03-31,立石,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,1,0,6,5,7,18,
030366,231,和歌山県,有田川町,2023-03-31,彦ケ瀬,34,15,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,3,1,0,1,2,0,2,0,1,2,1,2,1,4,3,2,0,5,22,
030366,232,和歌山県,有田川町,2023-03-31,瀬井,58,31,27,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,1,1,1,2,2,0,0,1,1,1,1,6,6,3,5,2,4,3,1,5,4,32,
030366,234,和歌山県,有田川町,2023-03-31,西ケ峯,203,95,108,0,0,0,0,3,1,2,2,3,1,6,3,4,2,2,3,4,2,6,9,8,6,6,6,11,4,6,8,11,12,8,13,5,9,10,27,99,
030366,236,和歌山県,有田川町,2023-03-31,中,57,26,31,0,0,0,0,0,0,0,3,2,0,0,0,2,0,2,0,3,3,0,1,1,2,1,1,2,2,5,2,0,1,2,4,4,6,2,6,28,
030366,237,和歌山県,有田川町,2023-03-31,中峯,41,17,24,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,2,1,1,1,3,2,0,0,2,3,5,0,2,5,6,23,
030366,238,和歌山県,有田川町,2023-03-31,本堂,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,6,
030366,239,和歌山県,有田川町,2023-03-31,有原,55,24,31,0,0,0,1,1,1,1,0,1,2,1,4,2,2,2,3,0,1,1,1,0,1,3,2,3,4,4,1,3,1,1,1,0,1,1,5,22,
030366,240,和歌山県,有田川町,2023-03-31,青田,71,30,41,0,0,0,0,0,1,0,1,1,1,3,1,0,0,0,0,3,3,1,1,2,1,2,3,0,2,6,7,4,1,3,5,2,4,3,10,36,
030366,241,和歌山県,有田川町,2023-03-31,沼田,69,36,33,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,1,0,2,1,3,0,0,2,7,3,1,3,4,3,3,3,4,6,7,9,34,
030366,242,和歌山県,有田川町,2023-03-31,延坂,38,20,18,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,1,1,3,2,1,1,3,2,2,1,1,2,2,2,1,7,20,
030366,243,和歌山県,有田川町,2023-03-31,大西,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,
030366,244,和歌山県,有田川町,2023-03-31,大薗,28,12,16,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,0,1,0,0,3,2,1,1,1,1,0,1,0,0,1,2,2,3,11,
030366,245,和歌山県,有田川町,2023-03-31,尾上,34,17,17,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,2,1,2,1,1,1,1,0,1,3,1,2,2,2,2,1,2,1,1,2,14,
030366,246,和歌山県,有田川町,2023-03-31,小原,32,18,14,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,2,0,0,0,1,2,2,3,1,2,1,1,4,4,17,
030366,247,和歌山県,有田川町,2023-03-31,生石,121,59,62,0,0,2,1,2,1,0,0,0,0,2,2,4,4,0,1,2,0,1,1,3,4,7,9,5,4,6,2,4,2,4,8,6,12,11,11,68,
030366,251,和歌山県,有田川町,2023-03-31,丹生,168,76,92,1,2,1,2,0,1,4,2,4,3,4,1,5,2,5,3,6,4,4,5,4,5,3,11,4,4,5,7,9,10,5,11,4,8,8,11,71,
030366,252,和歌山県,有田川町,2023-03-31,糸野,321,139,182,3,3,2,4,11,5,8,6,6,6,5,2,3,5,4,9,8,12,6,13,8,11,9,13,7,11,17,23,18,15,9,17,7,8,8,19,141,
030366,253,和歌山県,有田川町,2023-03-31,下六川,75,37,38,0,2,1,0,0,1,1,1,1,0,1,0,1,1,2,2,1,1,1,2,4,1,3,4,1,1,4,6,4,6,6,2,5,1,1,7,27,
030366,254,和歌山県,有田川町,2023-03-31,釜中,48,21,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,1,1,2,1,1,2,1,1,3,3,2,4,5,4,4,5,25,
