市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
303666,101,和歌山県,有田川町,2026-01-31,天満,1300,649,651,36,25,39,21,37,47,43,38,40,33,33,33,44,35,41,50,56,45,48,33,42,45,40,37,32,48,28,32,26,38,32,34,21,24,11,33,537,
303666,102,和歌山県,有田川町,2026-01-31,下津野,2925,1423,1502,106,75,104,88,98,95,85,76,68,63,51,61,91,117,106,97,104,131,106,100,97,96,76,85,77,102,76,75,56,51,55,69,35,50,32,71,1084,
303666,106,和歌山県,有田川町,2026-01-31,植野,481,226,255,15,15,9,17,12,14,13,15,7,16,15,14,18,18,15,14,12,13,14,15,16,16,18,10,12,17,13,23,21,15,8,9,4,4,4,10,179,
303666,107,和歌山県,有田川町,2026-01-31,土生,599,285,314,14,20,19,21,17,18,21,8,9,10,18,13,17,22,23,23,19,17,13,15,22,24,14,22,16,18,23,20,10,9,14,32,9,7,7,15,229,
303666,108,和歌山県,有田川町,2026-01-31,奥,705,343,362,20,24,24,21,23,21,18,14,18,13,18,12,15,21,29,33,20,25,23,15,20,30,18,22,22,24,21,15,14,17,13,16,12,12,15,27,240,
303666,109,和歌山県,有田川町,2026-01-31,水尻,1452,695,757,25,25,33,28,32,40,41,41,39,43,51,49,42,42,50,50,57,51,54,49,58,63,45,58,47,53,29,40,32,36,35,40,11,18,14,31,649,
303666,110,和歌山県,有田川町,2026-01-31,熊井,357,172,185,4,4,6,11,7,7,7,12,11,8,12,10,5,7,8,7,6,9,11,13,22,22,21,22,21,15,8,7,12,4,6,6,3,5,2,16,172,
303666,111,和歌山県,有田川町,2026-01-31,明王寺,560,258,302,6,19,10,6,9,14,10,16,22,15,16,11,18,19,14,14,11,14,25,27,26,17,15,17,13,24,17,21,20,15,9,13,10,15,7,25,246,
303666,112,和歌山県,有田川町,2026-01-31,小島,327,161,166,1,1,5,4,6,11,10,9,10,11,7,11,7,4,13,6,11,11,13,14,8,14,15,10,10,8,9,15,12,9,11,15,7,6,6,7,159,
303666,113,和歌山県,有田川町,2026-01-31,野田,747,369,378,30,31,25,36,32,26,21,13,20,14,27,29,27,34,33,23,24,31,27,21,21,22,19,19,14,23,14,11,13,12,9,14,7,8,6,11,280,
303666,121,和歌山県,有田川町,2026-01-31,大賀畑,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,1,0,6,
303666,122,和歌山県,有田川町,2026-01-31,田口,318,148,170,3,1,7,6,7,11,8,11,8,8,7,3,4,4,6,4,9,8,4,9,14,14,13,17,11,7,9,14,13,12,9,17,7,7,9,17,119,
303666,123,和歌山県,有田川町,2026-01-31,大谷,151,74,77,1,3,3,3,3,2,6,1,1,3,3,3,1,3,2,2,7,4,3,4,7,5,8,4,3,2,1,6,5,6,11,11,5,9,4,6,61,
303666,124,和歌山県,有田川町,2026-01-31,井口,236,102,134,0,1,5,2,1,0,2,6,8,10,8,5,7,3,4,1,2,7,4,7,8,13,12,7,7,10,5,10,8,10,9,17,5,10,7,15,91,
303666,125,和歌山県,有田川町,2026-01-31,賢,365,175,190,5,1,4,6,3,9,9,6,4,4,10,9,9,6,5,7,9,12,10,9,13,11,15,17,8,9,13,21,19,18,19,13,9,14,11,18,133,
303666,126,和歌山県,有田川町,2026-01-31,田角,53,26,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,1,1,1,2,3,4,4,4,4,4,2,2,3,4,0,3,26,
303666,127,和歌山県,有田川町,2026-01-31,船坂,154,77,77,5,1,1,0,2,2,6,2,3,1,3,3,3,5,4,4,5,1,2,5,4,5,6,10,7,3,5,9,6,5,8,6,2,8,5,7,59,
303666,128,和歌山県,有田川町,2026-01-31,長谷,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,
303666,129,和歌山県,有田川町,2026-01-31,出,173,82,91,6,3,4,9,4,6,4,5,5,2,5,5,4,4,7,7,5,7,4,4,3,3,4,5,4,3,7,8,7,10,8,3,0,3,1,4,70,
303666,130,和歌山県,有田川町,2026-01-31,尾中,147,74,73,0,1,3,8,5,1,6,3,1,2,2,5,4,2,5,4,8,6,6,2,4,5,7,5,5,5,4,5,3,3,5,8,4,4,2,4,60,
303666,131,和歌山県,有田川町,2026-01-31,角,152,67,85,1,1,0,1,1,2,7,8,3,6,1,2,0,3,5,4,5,4,5,7,9,8,2,4,4,4,7,6,5,8,5,9,4,5,3,3,65,
303666,132,和歌山県,有田川町,2026-01-31,長田,290,139,151,2,2,9,5,4,7,8,9,6,2,8,3,5,7,5,2,10,11,9,7,12,11,9,7,9,19,9,11,8,17,15,11,5,9,6,11,116,
303666,133,和歌山県,有田川町,2026-01-31,上中島,429,192,237,5,5,7,5,11,11,6,10,6,11,12,15,10,5,7,13,11,12,13,14,19,12,16,28,18,27,13,8,12,19,14,12,7,11,5,19,191,
303666,141,和歌山県,有田川町,2026-01-31,徳田,2014,993,1021,47,45,73,50,73,68,51,51,53,41,46,33,56,51,59,65,73,82,78,69,56,61,50,52,49,61,55,58,54,54,55,70,33,48,32,62,819,
303666,142,和歌山県,有田川町,2026-01-31,庄,1454,684,770,35,39,50,47,30,39,32,38,23,25,31,35,44,49,45,52,54,51,46,48,43,32,40,39,33,59,45,48,39,46,39,48,29,29,26,46,622,
303666,145,和歌山県,有田川町,2026-01-31,垣倉,363,161,202,11,11,11,14,15,10,10,7,4,4,8,11,7,8,13,15,9,10,9,17,11,10,11,13,10,10,15,21,12,18,4,6,1,9,0,8,153,
303666,146,和歌山県,有田川町,2026-01-31,東丹生図,222,98,124,5,3,1,5,5,6,3,8,2,4,0,1,7,2,6,5,5,11,5,6,4,4,8,8,12,14,7,7,13,10,6,8,3,9,6,13,81,
303666,147,和歌山県,有田川町,2026-01-31,西丹生図,341,161,180,1,5,24,15,17,14,4,9,8,6,2,3,10,9,10,14,13,13,13,16,10,10,8,9,9,9,10,17,10,9,7,3,3,7,2,12,125,
