市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,101,和歌山県,有田川町,2023-11-30,天満,1334,662,672,48,30,38,29,40,51,37,31,33,33,48,39,46,44,41,46,61,51,40,42,40,39,37,46,35,38,28,32,32,38,31,33,16,23,11,27,525,
030366,102,和歌山県,有田川町,2023-11-30,下津野,2892,1398,1494,105,86,97,85,95,84,83,77,65,72,72,91,81,90,102,115,107,110,100,103,91,94,74,91,88,91,67,63,59,66,44,48,31,54,37,74,1052,
030366,106,和歌山県,有田川町,2023-11-30,植野,463,218,245,10,11,11,17,14,9,10,19,13,12,12,12,14,19,16,15,11,13,11,17,21,15,14,12,16,21,12,17,17,14,8,7,2,4,6,11,172,
030366,107,和歌山県,有田川町,2023-11-30,土生,614,293,321,20,24,17,20,18,11,18,11,12,16,18,15,22,27,24,25,15,14,18,16,21,29,14,18,21,21,19,14,6,22,16,19,9,5,5,14,229,
030366,108,和歌山県,有田川町,2023-11-30,奥,687,330,357,20,17,18,26,20,16,21,14,17,13,17,12,17,22,25,30,19,19,24,19,26,32,19,22,17,20,21,17,15,16,11,17,12,8,11,37,236,
030366,109,和歌山県,有田川町,2023-11-30,水尻,1493,737,756,32,27,32,36,36,40,39,39,65,42,52,48,41,42,68,60,53,45,57,54,42,59,46,63,49,43,25,47,38,34,23,28,20,23,19,26,635,
030366,110,和歌山県,有田川町,2023-11-30,熊井,360,178,182,2,7,8,8,9,5,9,13,12,8,7,7,7,5,6,9,9,6,13,15,23,28,28,20,13,7,8,7,13,5,4,5,2,12,5,15,168,
030366,111,和歌山県,有田川町,2023-11-30,明王寺,595,273,322,10,18,10,8,9,16,13,14,19,18,18,20,23,19,15,15,14,16,29,23,25,20,13,19,12,25,21,20,17,10,12,20,7,13,6,28,249,
030366,112,和歌山県,有田川町,2023-11-30,小島,353,171,182,4,3,10,13,6,8,12,8,7,14,10,9,9,5,9,12,13,13,15,12,11,15,11,11,10,11,12,13,7,12,12,12,9,6,4,5,162,
030366,113,和歌山県,有田川町,2023-11-30,野田,694,343,351,26,20,31,30,23,22,18,17,20,22,25,23,22,25,29,29,22,29,29,19,19,19,18,20,15,16,11,11,12,15,11,12,5,7,7,15,262,
030366,121,和歌山県,有田川町,2023-11-30,大賀畑,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,1,1,0,6,
030366,122,和歌山県,有田川町,2023-11-30,田口,339,157,182,2,4,8,6,7,9,12,17,9,4,6,6,3,3,9,8,7,6,8,16,17,12,9,16,14,9,9,12,9,15,14,16,7,8,7,15,122,
030366,123,和歌山県,有田川町,2023-11-30,大谷,154,78,76,1,0,4,4,8,0,3,4,2,3,2,3,0,1,3,2,7,4,4,5,6,6,8,1,1,3,3,7,8,7,7,14,8,6,3,6,58,
030366,124,和歌山県,有田川町,2023-11-30,井口,241,107,134,2,1,2,0,3,2,5,10,10,8,5,3,5,1,5,6,0,5,7,8,9,11,8,9,9,7,7,13,12,14,6,15,7,6,5,15,91,
030366,125,和歌山県,有田川町,2023-11-30,賢,383,184,199,2,2,5,8,3,9,11,3,12,7,10,11,7,6,7,10,9,7,12,12,12,17,16,11,9,14,13,22,20,16,15,15,11,12,10,17,134,
030366,126,和歌山県,有田川町,2023-11-30,田角,63,29,34,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,1,1,0,1,3,3,1,5,5,3,5,4,3,0,4,4,4,0,6,29,
030366,127,和歌山県,有田川町,2023-11-30,船坂,153,76,77,3,0,1,0,3,4,5,0,3,3,4,3,2,1,5,3,3,3,4,6,4,9,10,5,2,6,4,7,11,6,5,7,2,6,5,8,57,
030366,128,和歌山県,有田川町,2023-11-30,長谷,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,5,
030366,129,和歌山県,有田川町,2023-11-30,出,177,81,96,5,8,5,10,2,5,6,2,4,1,3,3,6,11,6,5,4,3,8,4,3,6,0,4,6,5,9,10,6,7,6,3,0,3,2,6,67,
030366,130,和歌山県,有田川町,2023-11-30,尾中,147,77,70,0,7,5,2,5,2,2,2,4,1,6,4,5,1,8,5,5,4,4,3,6,5,5,5,4,4,4,5,5,6,5,8,2,3,2,3,60,
030366,131,和歌山県,有田川町,2023-11-30,角,157,69,88,0,1,0,1,4,8,7,4,1,5,0,4,1,1,5,6,6,4,6,5,9,10,2,4,2,5,8,9,6,10,6,4,4,3,2,4,64,
030366,132,和歌山県,有田川町,2023-11-30,長田,314,149,165,5,6,6,5,7,9,9,9,6,2,6,3,6,8,8,9,10,8,16,9,7,9,8,15,9,11,8,14,15,15,12,12,2,8,9,13,122,
030366,133,和歌山県,有田川町,2023-11-30,上中島,441,200,241,5,2,9,7,10,11,4,9,9,16,14,12,9,7,9,8,9,18,16,8,16,18,17,28,17,22,12,11,15,23,11,10,8,8,10,23,187,
030366,141,和歌山県,有田川町,2023-11-30,徳田,2038,1007,1031,57,50,87,61,61,57,55,58,51,30,60,39,45,57,64,77,79,80,76,62,49,54,44,54,57,61,48,58,63,62,48,69,36,38,27,64,810,
030366,142,和歌山県,有田川町,2023-11-30,庄,1446,671,775,41,44,36,41,22,31,24,41,27,27,35,39,47,40,47,56,48,50,57,43,36,33,33,45,46,62,48,46,40,52,36,40,26,36,22,49,630,
030366,145,和歌山県,有田川町,2023-11-30,垣倉,375,163,212,11,15,12,13,16,9,7,6,5,11,7,8,9,13,13,12,10,14,10,14,13,13,11,9,10,19,14,17,14,11,1,10,0,7,0,11,155,
030366,146,和歌山県,有田川町,2023-11-30,東丹生図,230,97,133,1,5,0,7,7,6,2,6,1,4,2,2,9,0,6,14,6,7,4,5,3,3,12,16,9,9,12,10,8,5,5,11,5,7,5,16,85,
030366,147,和歌山県,有田川町,2023-11-30,西丹生図,342,157,185,11,7,19,23,10,7,5,9,6,7,6,6,13,15,9,9,12,17,13,11,10,11,4,9,8,9,14,13,6,8,5,7,3,3,3,14,120,
030366,148,和歌山県,有田川町,2023-11-30,吉見,168,83,85,3,3,2,5,7,1,8,4,2,4,3,2,4,4,5,4,3,3,5,7,5,4,4,6,5,6,9,7,11,5,2,7,3,2,2,11,50,
030366,201,和歌山県,有田川町,2023-11-30,吉原,1019,491,528,14,11,24,9,19,19,21,23,21,26,13,12,20,15,20,25,33,23,38,37,31,35,28,32,38,42,44,51,52,49,32,31,23,37,20,51,422,
030366,202,和歌山県,有田川町,2023-11-30,糸川,79,38,41,0,0,0,0,0,0,0,0,1,0,0,2,4,1,1,0,2,4,0,1,2,0,0,3,4,4,8,8,5,3,3,1,2,6,6,8,41,
