市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,101,和歌山県,有田川町,2021-03-31,天満,1352,660,692,47,30,40,49,39,39,34,36,28,37,52,46,43,49,50,53,52,38,41,48,43,36,32,51,36,34,28,36,40,34,26,27,18,26,11,23,517,
030366,102,和歌山県,有田川町,2021-03-31,下津野,2747,1334,1413,85,77,94,84,90,74,84,73,55,73,80,86,83,84,94,111,102,106,102,98,78,85,75,91,79,84,60,55,61,70,39,48,34,42,39,72,978,
030366,106,和歌山県,有田川町,2021-03-31,植野,452,208,244,9,12,13,15,14,19,6,14,13,9,11,12,16,16,12,9,13,19,16,15,19,13,11,15,12,23,19,17,9,10,7,4,1,7,7,15,163,
030366,107,和歌山県,有田川町,2021-03-31,土生,582,280,302,17,21,16,16,18,11,19,13,19,14,11,16,18,20,15,18,18,17,25,21,13,24,16,17,26,22,11,12,16,31,12,10,7,8,3,11,210,
030366,108,和歌山県,有田川町,2021-03-31,奥,666,321,345,21,16,22,23,19,12,21,14,20,22,10,10,22,27,17,26,24,15,22,30,20,21,20,19,21,18,13,20,17,19,15,13,9,10,8,30,219,
030366,109,和歌山県,有田川町,2021-03-31,水尻,1484,732,752,40,33,32,37,38,40,49,36,58,42,42,42,57,58,62,56,48,46,54,60,46,61,51,53,32,42,37,38,41,40,14,22,20,22,11,24,602,
030366,110,和歌山県,有田川町,2021-03-31,熊井,370,186,184,7,8,7,6,7,12,14,6,15,9,6,7,7,4,4,10,13,11,22,22,22,21,21,15,7,6,12,6,8,6,5,5,3,17,6,13,171,
030366,111,和歌山県,有田川町,2021-03-31,明王寺,600,279,321,13,10,9,19,8,16,19,16,22,16,16,24,25,17,12,11,23,23,27,20,15,19,12,21,19,24,22,16,11,15,11,16,9,14,6,24,240,
030366,112,和歌山県,有田川町,2021-03-31,小島,393,196,197,9,8,12,15,10,9,15,11,9,12,10,7,14,8,10,16,17,15,9,11,14,11,12,11,6,16,16,9,13,17,9,7,8,3,3,11,165,
030366,113,和歌山県,有田川町,2021-03-31,野田,677,336,341,24,33,36,24,16,15,20,15,12,19,25,30,27,21,29,27,27,25,24,19,18,18,13,22,15,13,11,12,13,12,8,14,9,7,9,15,246,
030366,121,和歌山県,有田川町,2021-03-31,大賀畑,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,0,3,0,8,
030366,122,和歌山県,有田川町,2021-03-31,田口,359,165,194,5,5,6,12,10,12,10,10,9,9,5,5,10,5,9,9,5,9,15,12,13,19,10,8,8,13,15,12,12,18,8,11,11,11,4,14,123,
030366,123,和歌山県,有田川町,2021-03-31,大谷,172,85,87,4,1,6,4,8,1,1,5,3,6,2,1,0,1,7,5,4,6,5,4,8,5,4,1,0,7,7,6,10,12,9,12,2,2,5,8,59,
030366,124,和歌山県,有田川町,2021-03-31,井口,261,117,144,1,2,2,0,2,6,10,13,11,6,5,3,5,3,4,6,3,8,8,11,13,9,7,9,7,11,7,10,14,19,8,9,4,9,6,10,90,
030366,125,和歌山県,有田川町,2021-03-31,賢,396,188,208,3,5,3,9,9,6,7,6,15,10,11,7,7,8,7,12,10,8,13,11,15,17,9,10,14,23,18,16,20,16,11,16,7,11,9,17,127,
030366,126,和歌山県,有田川町,2021-03-31,田角,71,32,39,1,0,0,0,0,2,0,0,3,0,0,0,2,2,2,1,2,1,1,2,1,2,3,3,5,5,4,3,2,3,4,4,0,5,2,6,28,
030366,127,和歌山県,有田川町,2021-03-31,船坂,165,80,85,1,1,2,2,5,2,3,1,5,4,3,4,2,3,4,2,5,5,5,4,6,11,7,2,3,9,7,7,10,6,4,8,5,4,3,10,62,
030366,128,和歌山県,有田川町,2021-03-31,長谷,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,4,
030366,129,和歌山県,有田川町,2021-03-31,出,172,77,95,2,9,3,5,5,7,7,1,3,3,4,6,8,6,3,2,4,6,3,3,3,6,3,4,9,7,8,12,8,4,0,3,1,5,3,6,66,
030366,130,和歌山県,有田川町,2021-03-31,尾中,136,71,65,1,4,2,0,2,1,2,3,5,2,7,2,5,2,5,3,4,3,2,2,7,6,5,5,3,5,5,5,6,8,4,4,4,5,2,5,57,
030366,131,和歌山県,有田川町,2021-03-31,角,162,75,87,0,1,1,2,8,8,3,7,2,1,3,2,3,4,7,5,6,6,8,6,3,6,4,4,7,7,5,7,6,9,5,5,2,1,2,6,62,
030366,132,和歌山県,有田川町,2021-03-31,長田,326,159,167,8,8,4,7,10,9,8,5,9,5,6,7,6,3,12,11,9,8,12,10,9,8,8,19,11,11,10,17,19,11,5,11,4,7,9,10,122,
030366,133,和歌山県,有田川町,2021-03-31,上中島,438,207,231,5,2,11,8,4,10,8,13,19,13,11,5,6,7,7,10,14,17,15,9,19,24,19,29,14,8,11,17,15,17,9,10,5,9,15,23,166,
030366,141,和歌山県,有田川町,2021-03-31,徳田,1978,972,1006,62,45,70,68,55,52,67,49,41,29,47,47,47,62,72,68,74,76,60,62,50,52,49,63,56,54,55,60,67,75,44,49,30,37,26,58,774,
030366,142,和歌山県,有田川町,2021-03-31,庄,1458,685,773,40,43,25,38,28,38,30,29,33,27,42,42,41,52,45,43,48,51,48,36,42,37,35,58,43,50,50,47,48,56,36,33,26,30,25,63,640,
030366,145,和歌山県,有田川町,2021-03-31,垣倉,348,157,191,8,11,16,10,11,9,5,6,9,7,6,8,10,13,10,10,9,12,10,9,12,13,10,11,16,22,13,18,6,8,2,11,1,4,3,9,139,
030366,146,和歌山県,有田川町,2021-03-31,東丹生図,245,103,142,2,6,5,6,3,8,3,6,2,7,8,1,7,6,6,11,5,6,5,5,8,8,12,14,6,8,12,9,7,7,4,9,6,8,2,17,86,
030366,147,和歌山県,有田川町,2021-03-31,西丹生図,326,154,172,16,12,17,14,4,8,10,8,5,5,8,5,8,16,12,11,13,12,9,10,8,10,8,8,10,16,11,9,7,5,3,7,2,7,3,9,113,
030366,148,和歌山県,有田川町,2021-03-31,吉見,177,89,88,2,3,5,4,9,1,4,4,4,5,4,1,5,5,5,3,5,6,2,5,6,5,4,5,9,6,10,9,5,7,2,2,4,5,4,12,52,
030366,201,和歌山県,有田川町,2021-03-31,吉原,1087,518,569,20,12,19,13,23,28,26,25,22,36,23,11,21,22,23,28,30,27,37,33,29,42,31,33,42,48,60,53,43,43,26,30,20,31,23,54,428,
030366,202,和歌山県,有田川町,2021-03-31,糸川,86,39,47,0,0,0,0,0,0,0,0,1,0,2,4,3,0,1,3,0,1,0,1,2,2,1,4,5,3,10,8,2,2,2,5,7,4,3,10,44,
030366,203,和歌山県,有田川町,2021-03-31,修理川,126,62,64,0,0,2,1,1,1,4,1,2,2,0,0,3,4,3,0,2,2,6,7,4,5,0,5,7,1,5,5,7,8,6,6,7,6,3,10,57,
030366,204,和歌山県,有田川町,2021-03-31,宇井苔,26,11,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,2,0,0,1,1,2,7,2,2,20,
030366,205,和歌山県,有田川町,2021-03-31,松原,59,28,31,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,2,3,2,1,0,1,3,2,2,3,6,5,2,4,2,5,5,5,36,
030366,206,和歌山県,有田川町,2021-03-31,歓喜寺,160,72,88,1,0,2,3,2,1,1,0,5,5,2,3,2,3,2,1,1,4,2,4,8,6,12,13,6,7,3,2,8,7,4,7,5,9,6,13,66,
030366,211,和歌山県,有田川町,2021-03-31,伏羊,127,56,71,2,0,1,2,0,7,4,6,2,1,1,1,1,2,1,3,7,3,6,4,0,4,2,2,4,8,8,7,11,11,3,2,1,2,2,6,41,
030366,212,和歌山県,有田川町,2021-03-31,小川,930,447,483,18,3,11,12,22,10,16,20,15,30,14,15,20,12,20,16,23,25,23,19,33,31,27,36,46,41,40,35,38,43,16,39,28,32,37,64,349,
030366,214,和歌山県,有田川町,2021-03-31,中野,187,95,92,3,3,8,5,6,5,7,5,4,0,4,3,5,6,2,5,10,7,0,5,8,2,4,8,8,5,4,11,6,5,9,5,5,5,2,7,69,
030366,215,和歌山県,有田川町,2021-03-31,市場,323,151,172,3,4,6,1,5,7,11,7,8,3,2,1,7,9,10,9,7,6,8,14,13,9,8,14,15,13,12,17,11,11,6,11,8,10,11,26,132,
030366,216,和歌山県,有田川町,2021-03-31,中井原,532,243,289,11,9,5,11,8,15,12,12,11,14,10,16,10,12,5,12,11,10,19,16,19,21,18,23,19,19,21,19,22,23,14,20,17,16,11,21,207,
030366,217,和歌山県,有田川町,2021-03-31,金屋,818,362,456,5,8,14,24,18,16,16,21,13,20,19,18,7,12,18,19,16,26,31,32,26,32,27,20,26,37,27,34,31,29,19,30,21,33,28,45,353,
030366,218,和歌山県,有田川町,2021-03-31,長谷川,279,128,151,4,2,2,3,2,8,12,4,4,4,1,6,11,6,4,4,9,10,14,10,10,6,6,12,6,16,14,9,10,15,9,11,8,8,2,17,117,
