市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
303666,101,和歌山県,有田川町,2024-08-31,天満,1328,660,668,49,25,33,28,44,52,38,34,39,31,43,35,37,42,41,46,60,52,46,40,36,43,39,44,38,40,24,31,30,35,31,35,19,25,13,30,531,
303666,102,和歌山県,有田川町,2024-08-31,下津野,2874,1400,1474,101,83,103,83,97,85,82,78,64,58,63,84,81,101,102,104,100,115,106,102,101,95,69,88,87,96,66,71,63,58,46,56,37,49,32,68,1054,
303666,106,和歌山県,有田川町,2024-08-31,植野,481,230,251,13,9,10,16,15,14,10,19,14,16,15,13,16,19,15,15,12,13,13,15,20,16,14,11,12,20,15,20,19,13,7,8,4,4,6,10,181,
303666,107,和歌山県,有田川町,2024-08-31,土生,611,295,316,20,21,17,20,17,15,19,7,15,14,16,15,23,25,24,26,15,14,18,16,21,24,14,23,18,18,23,16,4,22,17,21,10,5,4,14,230,
303666,108,和歌山県,有田川町,2024-08-31,奥,699,335,364,20,20,19,27,19,16,22,15,17,12,20,12,12,22,28,31,19,20,24,21,26,29,16,22,17,25,24,14,15,17,14,17,11,9,12,35,240,
303666,109,和歌山県,有田川町,2024-08-31,水尻,1463,713,750,29,25,36,37,32,38,42,40,45,45,53,43,41,38,69,57,53,48,56,51,48,62,41,58,52,45,23,47,32,35,30,32,17,22,14,27,632,
303666,110,和歌山県,有田川町,2024-08-31,熊井,359,170,189,4,9,7,8,9,4,4,13,13,10,8,7,6,7,7,6,7,10,11,15,23,28,24,19,16,10,7,7,14,4,3,6,3,10,4,16,168,
303666,111,和歌山県,有田川町,2024-08-31,明王寺,604,275,329,13,24,9,8,11,14,15,14,17,17,17,22,20,21,16,16,17,14,27,25,22,18,18,19,11,23,20,21,18,13,11,21,7,13,6,26,254,
303666,112,和歌山県,有田川町,2024-08-31,小島,339,165,174,2,2,8,8,6,8,10,9,9,11,9,11,11,6,9,9,11,13,14,12,10,16,13,10,10,10,11,12,11,12,10,15,10,5,1,5,160,
303666,113,和歌山県,有田川町,2024-08-31,野田,700,349,351,28,22,26,31,25,22,19,14,22,21,26,21,22,24,27,27,25,27,32,23,14,20,20,17,15,20,15,13,10,14,10,10,5,10,8,15,265,
303666,121,和歌山県,有田川町,2024-08-31,大賀畑,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,1,0,6,
303666,122,和歌山県,有田川町,2024-08-31,田口,331,156,175,2,4,7,4,8,9,8,15,14,5,5,5,4,3,8,5,7,8,8,11,14,15,12,16,11,11,11,11,11,14,11,15,9,9,6,15,121,
303666,123,和歌山県,有田川町,2024-08-31,大谷,150,75,75,1,0,3,4,7,0,5,3,3,5,1,2,0,1,2,1,8,4,2,6,5,6,10,1,1,3,2,6,7,6,8,15,7,7,3,5,57,
303666,124,和歌山県,有田川町,2024-08-31,井口,234,102,132,2,2,4,0,1,2,5,9,8,6,4,4,5,3,6,5,0,4,7,7,8,11,9,10,7,8,7,11,8,13,8,14,7,8,6,15,92,
303666,125,和歌山県,有田川町,2024-08-31,賢,369,176,193,3,2,4,7,4,11,8,2,10,6,7,11,8,3,7,10,9,8,9,11,14,15,14,14,8,11,14,22,19,18,16,14,11,10,11,18,128,
303666,126,和歌山県,有田川町,2024-08-31,田角,58,27,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,1,2,2,1,5,5,3,5,4,3,0,4,4,3,0,5,26,
303666,127,和歌山県,有田川町,2024-08-31,船坂,149,75,74,3,0,1,0,2,4,7,0,3,2,3,3,2,1,5,3,4,3,1,5,6,7,6,7,5,4,5,10,8,6,6,5,3,8,5,6,59,
303666,128,和歌山県,有田川町,2024-08-31,長谷,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4,
303666,129,和歌山県,有田川町,2024-08-31,出,174,79,95,4,6,3,10,5,7,4,2,6,1,3,2,3,10,8,4,4,7,7,2,3,5,1,5,5,4,8,9,7,8,6,4,0,2,2,7,67,
303666,130,和歌山県,有田川町,2024-08-31,尾中,149,79,70,0,4,4,5,6,1,4,3,2,2,6,4,5,1,7,5,5,5,7,3,4,5,7,5,3,4,5,5,3,3,7,8,2,3,2,4,59,
303666,131,和歌山県,有田川町,2024-08-31,角,155,69,86,1,1,0,1,3,6,7,6,1,4,1,4,1,1,4,6,6,3,7,6,7,9,1,5,4,3,7,9,7,9,6,6,4,4,2,3,63,
303666,132,和歌山県,有田川町,2024-08-31,長田,299,144,155,4,5,7,2,3,8,11,9,5,1,8,4,6,8,7,8,9,6,15,7,8,12,8,9,9,16,9,11,14,17,12,11,2,10,7,11,120,
303666,133,和歌山県,有田川町,2024-08-31,上中島,432,198,234,5,3,8,6,11,9,2,8,8,13,14,15,8,4,9,10,5,18,18,8,18,15,17,29,16,21,15,10,11,25,14,7,9,10,10,23,187,
303666,141,和歌山県,有田川町,2024-08-31,徳田,2040,1009,1031,56,46,81,62,66,63,55,53,54,38,52,32,56,60,55,65,75,88,83,65,52,57,47,57,57,53,47,63,55,58,52,66,38,49,28,56,815,
303666,142,和歌山県,有田川町,2024-08-31,庄,1443,665,778,38,46,42,36,25,34,23,40,24,28,31,38,41,41,46,58,51,53,55,40,42,39,31,39,38,62,54,48,38,47,35,44,28,37,23,48,629,
303666,145,和歌山県,有田川町,2024-08-31,垣倉,367,160,207,12,12,11,14,14,9,9,7,6,8,6,9,8,10,11,14,10,14,10,12,12,13,11,11,10,15,15,17,12,15,3,6,0,10,0,11,155,
303666,146,和歌山県,有田川町,2024-08-31,東丹生図,224,95,129,1,4,0,7,6,6,3,5,1,5,1,1,6,0,8,12,5,8,5,5,2,3,11,13,10,13,11,7,9,8,5,8,5,9,6,15,83,
303666,147,和歌山県,有田川町,2024-08-31,西丹生図,339,156,183,6,6,18,20,14,11,7,7,5,5,5,5,12,12,7,12,16,14,13,16,11,10,5,7,7,10,14,14,6,9,5,7,3,4,2,14,123,
303666,148,和歌山県,有田川町,2024-08-31,吉見,169,85,84,3,3,2,5,6,1,10,3,3,4,2,2,5,5,5,2,3,5,5,6,3,2,5,7,5,5,9,9,10,5,4,6,3,3,2,11,49,
303666,201,和歌山県,有田川町,2024-08-31,吉原,999,482,517,13,12,24,11,18,12,19,27,26,20,12,17,19,10,18,27,29,25,40,35,33,32,22,34,37,43,46,53,50,46,32,31,24,32,20,50,422,
303666,202,和歌山県,有田川町,2024-08-31,糸川,76,35,41,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,0,2,4,0,1,2,0,0,2,3,5,8,7,5,4,3,1,1,6,6,8,41,
303666,203,和歌山県,有田川町,2024-08-31,修理川,111,57,54,0,0,1,0,1,1,3,1,1,2,2,1,0,0,3,3,3,0,2,4,8,7,1,4,3,4,5,2,5,8,10,4,3,6,6,7,53,
303666,204,和歌山県,有田川町,2024-08-31,宇井苔,23,10,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1,2,3,7,17,
303666,205,和歌山県,有田川町,2024-08-31,松原,47,20,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3,1,1,2,0,2,4,1,2,3,6,6,1,7,1,3,30,
303666,206,和歌山県,有田川町,2024-08-31,歓喜寺,151,70,81,2,0,1,1,2,2,1,1,3,0,2,4,2,3,2,2,1,2,1,3,7,4,7,13,12,8,6,6,4,2,6,7,4,11,7,12,69,
303666,211,和歌山県,有田川町,2024-08-31,伏羊,117,54,63,2,0,1,1,1,3,1,8,3,3,2,0,0,0,1,3,5,4,5,2,4,4,0,4,3,2,5,9,9,8,8,9,3,1,1,2,37,
303666,212,和歌山県,有田川町,2024-08-31,小川,862,407,455,13,9,11,5,16,14,24,12,16,15,9,21,15,13,18,14,19,22,22,20,21,27,35,34,35,34,43,36,37,46,24,35,18,39,31,59,345,
303666,214,和歌山県,有田川町,2024-08-31,中野,166,87,79,0,0,4,5,5,3,7,6,6,2,5,1,5,2,2,7,2,5,9,6,1,4,7,4,3,5,9,8,7,7,5,3,6,3,4,8,71,
303666,215,和歌山県,有田川町,2024-08-31,市場,297,133,164,1,6,4,3,5,2,4,8,8,5,5,4,3,1,7,11,11,5,3,8,13,12,10,8,15,17,13,15,8,12,8,10,6,12,9,25,134,
303666,216,和歌山県,有田川町,2024-08-31,中井原,519,242,277,10,10,16,4,6,13,8,16,14,10,12,6,12,19,7,11,5,13,13,11,19,15,17,25,20,18,21,23,17,18,13,23,17,19,15,23,214,
303666,217,和歌山県,有田川町,2024-08-31,金屋,782,347,435,9,14,11,14,18,22,15,17,9,17,14,19,14,16,16,15,14,26,23,21,27,38,25,23,30,27,24,32,24,34,21,25,22,35,31,40,349,
303666,218,和歌山県,有田川町,2024-08-31,長谷川,251,119,132,0,1,6,2,0,5,6,6,5,5,4,0,6,5,7,5,3,2,12,10,13,10,9,12,3,12,12,10,11,10,10,16,7,7,5,14,110,
303666,221,和歌山県,有田川町,2024-08-31,岩野河,92,43,49,0,0,0,0,1,1,0,0,1,1,3,1,1,1,0,0,2,0,3,2,1,4,3,1,1,3,3,2,6,8,7,9,8,6,3,10,47,
303666,222,和歌山県,有田川町,2024-08-31,川口,114,53,61,0,0,1,0,1,1,1,3,1,0,5,4,3,1,0,1,4,1,3,3,4,7,2,0,2,3,2,4,8,10,6,3,4,8,6,12,69,
303666,223,和歌山県,有田川町,2024-08-31,谷,27,11,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,2,4,1,1,4,2,5,22,
303666,224,和歌山県,有田川町,2024-08-31,立石,24,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,6,4,8,17,
303666,231,和歌山県,有田川町,2024-08-31,彦ケ瀬,32,15,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,1,1,1,1,0,3,0,0,2,2,2,0,3,2,2,2,4,20,
303666,232,和歌山県,有田川町,2024-08-31,瀬井,53,28,25,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,4,1,1,2,1,0,1,0,1,1,4,3,4,6,2,6,3,1,3,3,32,
303666,234,和歌山県,有田川町,2024-08-31,西ケ峯,196,92,104,0,0,0,0,3,0,1,3,3,2,4,2,4,0,4,2,3,2,6,6,8,8,9,7,9,6,7,3,10,13,8,9,6,15,7,26,96,
303666,236,和歌山県,有田川町,2024-08-31,中,54,25,29,0,0,0,0,0,0,0,2,0,1,0,0,2,0,3,0,2,3,1,1,1,2,1,1,2,1,2,3,3,1,2,2,2,5,4,7,28,
303666,237,和歌山県,有田川町,2024-08-31,中峯,43,19,24,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,2,1,2,1,1,4,2,0,0,2,1,3,2,3,5,7,24,
303666,238,和歌山県,有田川町,2024-08-31,本堂,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,5,
303666,239,和歌山県,有田川町,2024-08-31,有原,52,24,28,0,0,0,0,1,1,1,1,2,2,0,1,2,3,2,2,0,0,1,1,0,1,2,3,3,2,3,3,4,1,2,0,0,1,1,6,21,
303666,240,和歌山県,有田川町,2024-08-31,青田,65,28,37,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,3,3,1,1,0,1,4,2,0,2,6,6,2,2,4,4,2,4,3,8,34,
303666,241,和歌山県,有田川町,2024-08-31,沼田,63,32,31,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,3,1,1,2,7,3,1,2,4,2,3,4,2,5,7,10,32,
303666,242,和歌山県,有田川町,2024-08-31,延坂,35,18,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,1,1,2,2,2,1,3,2,1,1,1,2,2,2,0,6,23,
303666,243,和歌山県,有田川町,2024-08-31,大西,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,
303666,244,和歌山県,有田川町,2024-08-31,大薗,27,11,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,0,0,2,0,0,1,2,2,1,1,1,1,1,0,0,0,2,2,3,11,
303666,245,和歌山県,有田川町,2024-08-31,尾上,27,13,14,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,2,1,1,1,0,0,1,3,2,1,0,1,1,2,2,1,1,0,12,
303666,246,和歌山県,有田川町,2024-08-31,小原,31,16,15,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,0,1,0,1,1,1,2,2,4,1,1,1,4,17,
303666,247,和歌山県,有田川町,2024-08-31,生石,110,53,57,0,0,2,1,1,0,1,1,0,0,1,1,3,2,1,2,1,1,2,1,3,2,6,5,5,6,6,3,3,2,3,6,6,11,9,13,64,
