市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
303666,101,和歌山県,有田川町,2024-06-30,天満,1325,661,664,49,25,32,27,42,54,40,33,38,30,43,35,42,41,42,44,57,51,47,42,38,45,37,42,37,40,25,33,31,34,31,35,17,25,13,28,528,
303666,102,和歌山県,有田川町,2024-06-30,下津野,2888,1405,1483,100,83,103,85,100,86,80,77,64,63,65,84,83,100,98,103,107,121,105,99,98,94,70,88,89,95,65,69,61,62,47,51,36,51,34,72,1061,
303666,106,和歌山県,有田川町,2024-06-30,植野,474,226,248,13,9,10,17,15,12,9,19,14,15,13,12,17,19,15,15,13,13,11,16,21,14,13,11,13,22,14,18,19,13,7,8,3,4,6,11,179,
303666,107,和歌山県,有田川町,2024-06-30,土生,617,296,321,19,21,18,22,17,13,19,9,14,14,16,16,23,25,25,27,14,16,21,15,18,25,14,22,20,19,22,16,6,21,16,22,10,4,4,14,232,
303666,108,和歌山県,有田川町,2024-06-30,奥,700,336,364,20,18,21,28,18,16,21,14,18,13,20,13,13,22,28,32,18,19,26,20,24,29,17,22,16,25,24,14,16,17,13,17,11,9,12,36,240,
303666,109,和歌山県,有田川町,2024-06-30,水尻,1469,712,757,30,27,34,38,33,36,42,41,46,44,48,44,43,41,72,58,51,47,57,53,45,61,39,59,54,44,22,46,34,36,28,33,20,21,14,28,633,
303666,110,和歌山県,有田川町,2024-06-30,熊井,364,175,189,4,9,7,8,9,4,5,12,12,10,9,7,7,7,8,7,8,9,11,15,24,28,23,20,16,10,7,7,14,4,3,5,3,11,5,16,171,
303666,111,和歌山県,有田川町,2024-06-30,明王寺,600,274,326,12,21,9,8,11,14,16,14,16,16,19,23,20,19,16,16,16,13,28,26,24,17,15,20,10,22,21,21,17,13,11,21,7,13,6,29,252,
303666,112,和歌山県,有田川町,2024-06-30,小島,341,166,175,3,2,8,8,6,8,11,9,7,15,9,8,11,6,9,9,11,13,14,11,10,16,14,10,9,11,10,12,11,13,11,14,10,5,2,5,162,
303666,113,和歌山県,有田川町,2024-06-30,野田,697,345,352,26,20,28,31,24,23,20,16,19,20,25,21,22,25,29,28,25,27,30,23,15,19,20,18,15,19,14,13,12,15,8,11,5,8,8,15,264,
303666,121,和歌山県,有田川町,2024-06-30,大賀畑,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,1,0,6,
303666,122,和歌山県,有田川町,2024-06-30,田口,331,156,175,2,4,8,6,7,7,9,16,13,4,5,5,4,3,8,6,7,7,9,11,14,16,12,15,10,11,12,11,10,16,11,14,9,8,6,15,121,
303666,123,和歌山県,有田川町,2024-06-30,大谷,151,76,75,1,0,3,4,7,0,5,3,3,5,1,2,0,1,2,1,8,4,4,6,4,6,10,1,1,3,2,7,7,5,8,15,7,7,3,5,57,
303666,124,和歌山県,有田川町,2024-06-30,井口,231,100,131,1,1,3,0,1,2,5,9,8,7,4,2,5,3,6,5,0,4,7,8,8,11,9,9,8,8,6,12,10,12,7,15,6,7,6,16,91,
303666,125,和歌山県,有田川町,2024-06-30,賢,375,178,197,3,3,4,7,4,11,8,3,10,6,7,10,9,5,7,10,9,8,9,13,14,14,15,13,8,11,14,23,19,17,17,15,10,10,11,18,131,
303666,126,和歌山県,有田川町,2024-06-30,田角,58,27,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,1,2,2,1,5,5,3,5,4,3,0,4,4,3,0,5,26,
303666,127,和歌山県,有田川町,2024-06-30,船坂,151,75,76,3,0,1,0,3,4,6,0,3,3,3,3,2,1,5,3,4,3,2,5,5,7,6,7,6,4,4,10,9,6,5,6,3,7,5,7,59,
303666,128,和歌山県,有田川町,2024-06-30,長谷,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,
303666,129,和歌山県,有田川町,2024-06-30,出,176,80,96,4,7,3,9,5,7,5,2,5,1,4,2,4,10,6,4,5,7,6,2,3,6,1,5,6,4,8,10,7,7,6,4,0,3,2,6,68,
303666,130,和歌山県,有田川町,2024-06-30,尾中,149,79,70,0,4,4,5,7,1,3,3,2,2,6,4,5,1,7,5,5,5,7,3,4,5,7,5,4,4,4,5,4,4,6,7,2,4,2,3,59,
303666,131,和歌山県,有田川町,2024-06-30,角,155,69,86,1,1,0,1,3,6,7,6,1,4,1,4,1,1,4,6,7,4,6,5,7,9,2,5,3,4,7,8,7,10,6,5,4,4,2,3,63,
303666,132,和歌山県,有田川町,2024-06-30,長田,299,144,155,3,5,7,2,4,8,11,9,5,1,7,4,6,8,7,8,9,6,15,10,9,9,7,9,9,17,9,11,14,17,12,10,2,10,8,11,119,
303666,133,和歌山県,有田川町,2024-06-30,上中島,429,195,234,5,3,8,6,11,9,2,10,8,12,13,14,7,4,9,11,7,18,17,7,17,14,17,29,16,24,14,8,13,25,13,8,8,9,10,23,187,
303666,141,和歌山県,有田川町,2024-06-30,徳田,2037,1009,1028,55,48,80,62,68,60,56,55,56,33,48,33,55,61,58,66,72,82,83,66,50,57,50,58,55,55,48,59,55,60,54,67,38,47,28,59,811,
303666,142,和歌山県,有田川町,2024-06-30,庄,1445,667,778,40,44,42,36,23,34,23,39,24,28,33,41,42,40,46,56,50,54,56,39,40,39,33,40,37,62,54,47,39,47,33,46,29,35,23,51,633,
303666,145,和歌山県,有田川町,2024-06-30,垣倉,370,162,208,11,13,11,13,14,9,10,7,5,8,6,9,9,12,12,12,9,14,11,12,12,14,11,10,11,15,15,20,12,12,3,8,0,8,0,12,155,
303666,146,和歌山県,有田川町,2024-06-30,東丹生図,226,95,131,1,4,0,7,6,6,3,6,1,5,1,1,6,0,8,12,5,9,5,4,3,3,12,14,8,12,11,8,10,7,4,9,5,8,6,16,84,
303666,147,和歌山県,有田川町,2024-06-30,西丹生図,339,156,183,6,5,18,21,16,10,5,7,5,6,5,4,12,13,7,11,16,16,13,14,11,10,5,7,8,10,13,14,6,9,5,7,4,4,1,15,122,
303666,148,和歌山県,有田川町,2024-06-30,吉見,168,84,84,2,3,2,5,6,1,10,4,3,3,2,2,5,5,5,2,3,5,5,6,4,3,5,7,4,4,9,9,11,5,3,6,3,3,2,11,49,
303666,201,和歌山県,有田川町,2024-06-30,吉原,1009,485,524,13,13,25,10,18,14,21,26,24,23,11,14,19,11,20,28,29,23,39,36,35,33,24,35,36,42,45,52,51,47,32,33,24,33,19,51,424,
303666,202,和歌山県,有田川町,2024-06-30,糸川,79,37,42,0,0,0,0,0,0,0,0,1,0,0,2,4,1,1,0,2,4,0,1,2,0,0,2,3,5,9,7,5,4,3,1,2,7,5,8,42,
303666,203,和歌山県,有田川町,2024-06-30,修理川,111,57,54,0,0,1,0,1,1,3,1,1,3,2,0,0,0,3,3,3,0,2,4,8,8,1,3,3,4,5,2,5,8,10,4,4,6,5,7,53,
303666,204,和歌山県,有田川町,2024-06-30,宇井苔,23,10,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,1,2,3,7,17,
303666,205,和歌山県,有田川町,2024-06-30,松原,48,21,27,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0,2,1,1,2,0,2,4,1,3,4,5,5,1,7,1,3,31,
303666,206,和歌山県,有田川町,2024-06-30,歓喜寺,148,68,80,1,0,1,1,3,2,0,1,3,0,2,4,2,2,2,2,1,2,1,3,8,5,6,13,12,7,5,6,4,2,6,7,4,11,7,12,67,
