市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,101,和歌山県,有田川町,2022-04-30,天満,1350,658,692,49,37,41,38,42,42,32,37,24,37,50,41,44,53,49,48,53,46,43,41,40,41,37,46,31,37,32,37,34,31,29,30,14,27,14,23,519,
030366,102,和歌山県,有田川町,2022-04-30,下津野,2831,1369,1462,92,83,88,92,94,79,88,67,56,77,85,88,82,85,102,124,99,101,101,109,87,89,75,81,80,93,54,51,71,71,36,46,36,48,43,78,1015,
030366,106,和歌山県,有田川町,2022-04-30,植野,459,212,247,13,12,9,16,17,16,8,15,13,9,10,15,17,17,15,13,9,14,15,18,18,13,15,12,12,24,15,16,11,13,7,3,1,7,7,14,167,
030366,107,和歌山県,有田川町,2022-04-30,土生,584,281,303,13,23,19,14,21,11,17,13,16,12,14,12,17,23,20,22,16,16,22,21,15,25,15,14,23,26,16,8,10,32,16,11,7,8,4,12,215,
030366,108,和歌山県,有田川町,2022-04-30,奥,694,332,362,19,19,22,26,16,17,27,11,20,17,14,15,20,25,21,25,20,19,21,23,24,32,22,20,18,19,17,19,20,17,7,14,15,9,9,35,232,
030366,109,和歌山県,有田川町,2022-04-30,水尻,1461,720,741,36,25,32,37,35,40,50,33,55,45,43,35,41,53,67,54,51,48,55,59,43,62,51,52,38,47,34,38,40,40,15,22,22,28,12,23,608,
030366,110,和歌山県,有田川町,2022-04-30,熊井,370,183,187,5,10,8,7,7,7,12,10,16,8,6,10,5,3,6,9,11,7,18,27,25,18,23,19,8,4,11,8,8,6,5,6,4,15,5,13,170,
030366,111,和歌山県,有田川町,2022-04-30,明王寺,589,275,314,15,11,7,16,9,14,13,17,27,18,17,20,19,11,14,18,23,19,25,18,20,20,11,21,12,24,24,18,16,15,9,12,10,16,4,26,244,
030366,112,和歌山県,有田川町,2022-04-30,小島,381,185,196,3,6,13,14,8,9,15,9,8,15,10,8,14,7,9,15,15,14,8,9,16,18,12,9,6,14,15,10,12,17,8,8,10,4,3,10,165,
030366,113,和歌山県,有田川町,2022-04-30,野田,690,335,355,27,30,32,31,19,12,15,19,17,23,22,29,25,25,30,27,24,28,26,21,19,17,16,18,14,14,10,13,14,12,7,12,9,10,9,14,250,
030366,121,和歌山県,有田川町,2022-04-30,大賀畑,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,2,0,7,
030366,122,和歌山県,有田川町,2022-04-30,田口,351,161,190,6,5,5,10,8,12,11,11,7,7,6,5,9,5,8,8,6,7,9,14,19,17,9,11,10,10,11,14,13,16,8,13,9,10,7,15,124,
030366,123,和歌山県,有田川町,2022-04-30,大谷,161,81,80,3,1,4,3,8,0,1,5,3,5,2,2,0,2,7,2,4,5,5,5,7,5,5,1,1,3,6,8,8,12,10,12,3,3,4,6,56,
030366,124,和歌山県,有田川町,2022-04-30,井口,257,118,139,3,2,2,0,2,5,8,9,12,7,6,5,4,2,6,5,1,8,8,10,13,11,5,7,6,11,9,11,13,16,8,11,5,8,7,11,92,
030366,125,和歌山県,有田川町,2022-04-30,賢,391,186,205,2,6,5,7,9,8,4,6,17,7,9,10,5,8,9,8,8,8,12,11,18,17,8,10,9,19,19,22,23,13,12,19,6,8,11,18,127,
030366,126,和歌山県,有田川町,2022-04-30,田角,65,30,35,1,0,0,0,0,0,0,0,2,0,1,0,1,0,3,3,1,0,0,1,2,2,2,2,6,7,3,2,3,4,2,4,2,5,1,5,28,
030366,127,和歌山県,有田川町,2022-04-30,船坂,158,76,82,1,1,1,2,4,2,5,1,2,2,4,5,2,2,4,1,4,5,5,5,5,10,9,3,3,10,7,7,10,6,3,6,3,6,4,8,58,
030366,128,和歌山県,有田川町,2022-04-30,長谷,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,4,
030366,129,和歌山県,有田川町,2022-04-30,出,172,82,90,4,8,5,5,3,6,7,1,4,1,8,7,6,7,3,2,3,6,5,3,4,5,1,4,8,6,10,11,7,6,2,2,1,2,1,8,69,
030366,130,和歌山県,有田川町,2022-04-30,尾中,143,76,67,0,6,5,1,5,1,0,1,6,1,7,4,4,2,8,5,3,2,4,3,6,5,4,5,3,5,5,6,5,8,5,4,4,5,2,3,58,
030366,131,和歌山県,有田川町,2022-04-30,角,158,71,87,0,1,1,2,7,8,4,5,0,3,2,3,3,4,5,5,6,5,7,6,6,8,3,3,6,8,4,4,9,12,3,5,4,0,1,5,62,
