市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
303666,101,和歌山県,有田川町,2025-03-31,天満,1318,654,664,41,27,39,22,34,56,43,32,40,31,44,32,40,43,44,47,55,53,46,35,35,44,39,40,37,46,23,28,31,37,29,35,19,26,15,30,527,
303666,102,和歌山県,有田川町,2025-03-31,下津野,2922,1419,1503,106,81,101,88,103,92,86,73,61,62,62,77,85,107,110,113,99,118,103,103,103,96,65,85,83,99,71,73,62,56,48,60,40,51,31,69,1071,
303666,106,和歌山県,有田川町,2025-03-31,植野,480,230,250,14,11,9,16,12,14,12,17,13,16,14,13,18,16,14,15,14,12,15,17,17,18,14,9,13,18,15,20,18,15,8,8,4,5,6,10,179,
303666,107,和歌山県,有田川町,2025-03-31,土生,612,293,319,18,22,18,20,16,16,21,8,11,12,17,15,21,25,23,24,19,17,14,14,23,25,13,18,16,22,24,18,8,14,16,28,10,5,5,16,233,
303666,108,和歌山県,有田川町,2025-03-31,奥,707,343,364,22,20,20,27,22,17,21,16,17,10,19,12,15,21,28,32,20,24,23,16,23,31,18,22,19,26,22,14,19,16,13,17,10,9,12,34,243,
303666,109,和歌山県,有田川町,2025-03-31,水尻,1438,694,744,28,30,35,29,27,41,41,42,41,41,46,47,43,35,60,52,55,52,53,47,52,62,47,50,50,57,27,41,29,37,32,35,15,20,13,26,628,
303666,110,和歌山県,有田川町,2025-03-31,熊井,352,168,184,2,9,7,7,9,6,5,12,13,6,8,8,5,7,7,7,6,10,11,13,24,25,20,21,20,11,7,7,13,5,4,6,4,6,3,18,166,
303666,111,和歌山県,有田川町,2025-03-31,明王寺,574,261,313,8,20,11,6,9,13,12,15,23,17,15,19,17,19,14,16,14,11,26,27,22,18,15,18,14,23,18,21,19,14,10,18,7,14,7,24,251,
303666,112,和歌山県,有田川町,2025-03-31,小島,342,169,173,2,1,10,5,6,11,11,9,8,12,9,11,10,6,10,7,10,12,14,16,10,14,13,11,13,8,9,13,13,10,10,16,9,5,2,6,160,
303666,113,和歌山県,有田川町,2025-03-31,野田,709,349,360,23,26,25,30,33,24,16,13,22,18,29,26,20,29,27,21,26,31,30,21,15,22,20,17,17,23,13,9,10,16,10,11,5,10,8,13,271,
303666,121,和歌山県,有田川町,2025-03-31,大賀畑,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,1,0,6,
303666,122,和歌山県,有田川町,2025-03-31,田口,327,153,174,2,3,7,4,8,10,9,13,8,7,7,5,2,2,10,4,6,9,8,9,14,14,12,18,12,7,10,15,11,14,12,15,6,9,9,16,122,
303666,123,和歌山県,有田川町,2025-03-31,大谷,146,72,74,1,2,3,4,4,1,5,1,2,3,2,3,1,2,1,1,9,4,2,3,5,6,10,3,1,3,2,6,6,6,9,13,6,8,3,5,58,
303666,124,和歌山県,有田川町,2025-03-31,井口,236,103,133,1,2,4,0,2,0,3,9,8,7,6,5,7,3,4,2,1,7,6,7,7,11,11,9,8,9,7,9,7,13,8,15,6,10,7,15,92,
303666,125,和歌山県,有田川町,2025-03-31,賢,361,171,190,4,2,3,6,3,12,9,2,7,6,9,8,7,6,6,8,8,10,9,11,14,13,15,13,8,12,13,21,20,20,17,13,9,10,10,17,128,
303666,126,和歌山県,有田川町,2025-03-31,田角,56,26,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,0,1,2,2,1,2,5,5,4,5,3,0,5,3,2,0,5,25,
303666,127,和歌山県,有田川町,2025-03-31,船坂,155,79,76,6,0,0,0,3,3,7,1,3,2,3,3,3,3,5,4,4,2,1,5,5,6,6,8,6,4,5,9,7,7,7,4,2,8,6,7,61,
303666,128,和歌山県,有田川町,2025-03-31,長谷,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4,
303666,129,和歌山県,有田川町,2025-03-31,出,172,77,95,4,7,3,7,4,7,4,3,5,2,4,2,3,8,6,6,4,7,7,3,4,4,2,6,5,4,7,7,7,10,7,4,0,3,1,5,67,
303666,130,和歌山県,有田川町,2025-03-31,尾中,151,77,74,0,3,4,8,5,1,5,3,2,2,4,4,5,2,6,6,6,4,8,3,3,5,7,6,4,3,5,6,2,3,6,8,4,3,1,4,60,
303666,131,和歌山県,有田川町,2025-03-31,角,155,68,87,1,1,0,1,2,6,7,5,2,4,1,4,0,1,5,5,6,3,5,7,9,8,1,6,4,2,7,7,6,10,5,7,5,5,2,5,65,
303666,132,和歌山県,有田川町,2025-03-31,長田,295,142,153,4,3,7,4,3,8,11,8,4,2,7,3,7,8,5,6,10,9,11,6,13,13,7,7,9,17,9,11,11,17,12,11,4,9,8,11,118,
303666,133,和歌山県,有田川町,2025-03-31,上中島,422,193,229,4,4,7,4,11,10,5,9,8,11,14,15,7,3,9,11,7,16,15,9,16,10,20,29,16,25,12,9,12,18,14,14,9,11,7,21,185,
303666,141,和歌山県,有田川町,2025-03-31,徳田,2028,996,1032,51,45,74,62,69,63,53,50,54,38,46,34,62,62,55,61,76,85,81,67,53,59,47,57,49,56,50,60,57,57,50,65,35,50,34,61,818,
303666,142,和歌山県,有田川町,2025-03-31,庄,1461,679,782,37,51,49,37,30,33,25,42,23,26,34,41,42,43,47,58,50,53,53,41,40,40,33,38,35,60,52,48,39,46,37,48,29,31,24,46,632,
303666,145,和歌山県,有田川町,2025-03-31,垣倉,364,161,203,11,11,12,12,12,11,11,6,6,9,4,7,9,11,13,13,10,14,9,12,11,13,12,13,9,11,15,17,13,18,4,6,0,10,0,9,155,
303666,146,和歌山県,有田川町,2025-03-31,東丹生図,225,98,127,3,3,1,7,5,6,3,6,2,5,0,1,6,1,8,11,4,9,7,3,2,4,9,10,12,16,8,6,12,9,5,6,3,9,8,15,82,
303666,147,和歌山県,有田川町,2025-03-31,西丹生図,337,158,179,4,6,20,16,15,14,6,7,6,6,4,5,11,10,9,12,13,14,16,16,8,10,7,7,8,9,11,16,8,9,7,5,3,6,2,11,123,
303666,148,和歌山県,有田川町,2025-03-31,吉見,166,84,82,2,4,3,5,5,1,11,1,2,6,1,1,5,4,5,3,4,5,4,5,3,3,5,5,5,6,10,9,9,5,4,7,3,2,3,10,48,
303666,201,和歌山県,有田川町,2025-03-31,吉原,983,476,507,12,9,20,11,18,12,21,27,26,17,10,20,20,7,15,22,29,28,40,34,33,32,24,35,30,38,50,54,49,45,33,35,24,34,22,47,417,
303666,202,和歌山県,有田川町,2025-03-31,糸川,75,35,40,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,2,3,0,2,2,0,0,2,3,5,7,4,6,7,3,0,1,5,6,9,41,
303666,203,和歌山県,有田川町,2025-03-31,修理川,110,57,53,1,0,1,0,1,1,1,1,3,1,2,2,0,0,3,3,2,0,2,2,7,8,3,5,3,4,4,2,4,8,10,4,3,6,7,6,53,
303666,204,和歌山県,有田川町,2025-03-31,宇井苔,23,10,13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,0,1,2,3,7,17,
303666,205,和歌山県,有田川町,2025-03-31,松原,50,21,29,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,3,1,1,2,0,2,4,1,2,3,5,6,2,5,1,5,31,
303666,206,和歌山県,有田川町,2025-03-31,歓喜寺,151,70,81,1,1,1,0,3,3,1,1,3,0,2,2,1,5,3,2,1,2,1,3,6,4,6,9,14,12,6,6,4,2,6,6,3,9,8,14,70,
303666,211,和歌山県,有田川町,2025-03-31,伏羊,117,54,63,2,0,1,1,1,3,0,7,5,2,2,1,0,0,1,3,2,4,7,3,5,4,0,4,3,2,5,8,9,8,8,10,3,1,0,2,37,
303666,212,和歌山県,有田川町,2025-03-31,小川,837,397,440,13,8,12,6,14,13,25,12,14,9,10,23,13,14,16,11,19,22,24,18,18,24,36,33,27,34,48,40,36,45,25,34,17,41,30,53,340,
303666,214,和歌山県,有田川町,2025-03-31,中野,167,87,80,1,0,3,5,6,2,5,6,7,3,5,2,6,2,2,5,1,6,10,7,0,3,8,5,3,6,9,5,6,10,6,3,5,3,4,7,72,
303666,215,和歌山県,有田川町,2025-03-31,市場,283,126,157,1,5,3,2,6,1,3,8,7,7,4,4,2,1,6,7,11,6,4,8,11,12,12,6,12,19,12,12,10,13,9,13,6,10,7,23,133,
