市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,101,和歌山県,有田川町,2019-04-30,天満,1265,613,652,40,30,40,49,36,35,34,38,33,29,35,35,41,44,54,52,46,36,33,39,39,44,39,41,24,34,36,35,39,37,19,23,19,28,10,25,474,
030366,102,和歌山県,有田川町,2019-04-30,下津野,2646,1275,1371,84,69,88,83,88,76,89,77,48,67,67,67,86,95,89,110,104,97,96,91,67,88,86,94,62,71,68,60,48,55,45,57,33,63,33,51,913,
030366,106,和歌山県,有田川町,2019-04-30,植野,443,207,236,11,13,12,16,11,19,15,13,9,11,13,14,17,14,9,12,15,16,20,16,13,11,12,19,13,20,18,12,8,8,6,5,3,8,6,14,153,
030366,107,和歌山県,有田川町,2019-04-30,土生,530,257,273,16,12,13,14,16,7,20,15,13,18,15,12,16,19,14,11,18,15,21,21,14,22,18,21,24,15,6,23,17,21,14,6,4,12,6,10,196,
030366,108,和歌山県,有田川町,2019-04-30,奥,633,307,326,16,22,20,15,22,12,19,16,21,19,9,16,17,24,17,20,24,20,29,27,15,19,16,24,25,13,16,19,15,18,15,9,9,16,5,25,202,
030366,109,和歌山県,有田川町,2019-04-30,水尻,1463,710,753,42,47,31,43,42,39,47,40,49,44,39,55,61,59,54,50,57,48,45,61,42,56,52,44,26,47,40,36,35,30,21,26,20,23,10,20,569,
030366,110,和歌山県,有田川町,2019-04-30,熊井,375,187,188,7,8,9,4,6,13,14,10,13,10,8,6,7,5,8,9,12,14,26,25,23,22,17,9,6,6,15,6,5,5,3,10,3,14,5,9,165,
030366,111,和歌山県,有田川町,2019-04-30,明王寺,626,284,342,13,20,14,15,14,13,19,17,15,19,16,20,20,24,16,12,30,29,23,18,18,18,10,23,21,24,18,13,12,21,9,13,9,20,9,21,243,
030366,112,和歌山県,有田川町,2019-04-30,小島,402,203,199,13,14,12,11,12,9,11,12,11,13,12,8,14,15,9,12,16,10,10,16,10,11,11,10,11,12,15,12,10,17,12,5,4,6,3,7,159,
030366,113,和歌山県,有田川町,2019-04-30,野田,631,308,323,29,27,26,21,18,13,19,23,13,18,16,21,25,22,26,25,33,25,14,19,21,17,12,20,13,13,10,13,14,12,7,12,11,11,7,12,218,
